Ancient.To,Size_known,Population,Label
Absortium,N,1500,
Acelum,Y,1000,
Acruvium,N,1500,
Adria,N,1500,
Aecae,N,1500,
Aegida,N,1500,
Aenona,Y,1600,
Aequum,Y,2200,
Aesis,Y,1000,
Albona,N,1500,
Altinum,Y,25600,Altinum
Alveria,N,1500,
Amiternum,Y,9750,Amiternum
Ancona,Y,4000,
Andetrium,N,1500,
Ansium,N,1500,
Anxa,N,1500,
Anxanum,Y,600,
Apollonia,Y,4000,
Aquileia,Y,13500,Aquileia
Arba,N,1500,
Argyruntum,N,1500,
Ariminum,Y,4000,
Arpi,N,1500,
Asculum,Y,4500,
Asseria,Y,600,
Ateste,Y,5000,Ateste
Atria,Y,5000,
Ausculum,Y,1500,
Auximum,Y,1400,
Azetium,N,1500,
Barium,N,1500,
Bigeste,N,1500,
Blandona,N,1500,
Bononia,Y,5000,Bononia
Bovianum,Y,1500,
Brundisium,Y,9300,Brundisium
Burnum,N,1500,
Butua,N,1500,
Butuntum,N,1500,
Caelia,N,1500,
Caelia Calabria,N,1500,
Caesena,Y,2100,
Cannae,N,1500,
Canusium,Y,1500,
Castrum Novum Picenum,Y,1200,
Castrum Truentinum,N,1500,
Cingulum,Y,1000,
Cissa,N,1500,
Clambetae,N,1500,
Claterna,Y,2200,
Cluana,N,1500,
Cluviae,Y,500,
Concordia,Y,4200,Concordia
Corinium,N,1500,
Crexa,N,1500,
Cupra Maritima,Y,1000,
Cupra Montana,Y,2000,
Curicum,N,1500,
Diluntum,N,1500,
Doclea,Y,2500,
Dyrrachium/Epidamnos,Y,14250,Dyrrachium
Egnatia,Y,2000,
Epetion,N,1500,
Epidaurum,N,1500,
Fagifulae,Y,100,
Falerio,Y,1600,
Fanum Fortunae,Y,2100,
Faventia,N,3000,
Firmum,Y,2500,
Flanona,N,1500,
Forentum,Y,3000,
Forum Cornelii,Y,3600,
Forum Iulii,Y,1200,Forum Iulii
Forum Livii,Y,3900,
Forum Popili,Y,500,
Forum Sempronii,Y,2200,
Fulfinium,N,1500,
Genusia,N,1500,
Helvia Ricina,Y,2200,
Herdoniae,Y,1900,
Histonium,Y,1200,
Hortona,Y,600,
Hydruntum,N,1500,
Iader,Y,2600,
Iguvium,Y,9000,Iguvium
Interamnia,Y,2300,
Issa,Y,1700,
Iuvanum,N,1500,
Jablanc,N,1500,
Larinum,Y,3500,
Lissus,Y,2400,
Lopsica,N,1500,
Luceria,Y,11250,Luceria
Lupiae,Y,2000,
Magnum,N,1500,
Mutina,Y,5400,Mutina
Nareste,N,1500,
Narona,Y,2000,
Nedinum,N,1500,
Neretum,N,1500,
Nesactium,Y,800,
Netium,N,1500,
Norba,N,1500,
Novana,N,1500,
Numana,Y,1600,
Olcinium,N,1500,
Oneum,N,1500,
Opitergum,Y,3700,Opitergum
Ortoplinia/Ortopula,N,1500,
Ostra,N,1500,
Pagus Scunasticus,N,500,
Parentium,Y,800,Parentium
Patavium,Y,26000,Patavium
Pausulae,Y,1300,
Pinna,Y,1800,
Pisaurum,Y,1800,
Pitinum Mergens,Y,1500,
Pitinum Pisaurense,Y,500,
Pituntium,N,1500,
Pola,Y,2400,
Pollentia,Y,2500,
Potentia,Y,2300,
Promona,N,500,
Ravenna,Y,22600,Ravenna
Rider,N,1500,
Risinium,N,1500,
Rubi,N,1500,
Rudiae,Y,1300,
Saepinum,Y,1200,
Salapia Nova,Y,2200,
Salapia Vetus,N,1500,
Salona,Y,8700,Salona
Sarsina,Y,1000,
Scardona,N,1500,
Scodra,Y,3000,
Sena Gallica,Y,800,
Senia,N,1500,
Sentinum,Y,1600,
Septempeda,Y,1400,
Sestinum,N,1500,
Setovia,N,1500,
Siculi,N,1500,
Sidrona,N,1500,
Silvium,N,1500,
Sipontum,Y,1700,
Solona,N,1500,
Suasa,Y,2000,
Tarentum,Y,9000,Tarentum
Tarsatica,Y,900,Tarsatica
Tarvisium,Y,3000,Tarvisium
Teanum Apulum,Y,5000,
Teate Marrucinorum,Y,2000,
Tergestum,Y,1500,Tergestum
Terventum,Y,1100,
Tilurium,N,1500,
Tolentinum,N,1500,
Tragurium,N,1500,
Trea,Y,1100,
Urbana,N,1500,
Urbs Salvia,Y,4100,
Urvinum Mataurense,Y,1100,
Uxentum,N,1500,
Varvaria,Y,700,
Varvaria,Y,700,
Vegium/Vegia,N,1500,
Verona,Y,5200,
Vibinum,Y,1000,
Vicetia,Y,2800,
