Site,imcv
Aquileia,1.429943034833743
Forum Iulii,1.3603274025788
Tergestum,1.2901126547987845
Aegida,1.2519699659428376
Concordia,1.2251855273940584
Curicum,1.199903618566015
Tarsatica,1.1992509630425567
Adria,1.1924495446984342
Mutina,1.1794078669503003
Patavium,1.1792718185990645
Urbana,1.1770577198434047
Fulfinium,1.1764541809668654
Opitergum,1.1741161985804505
Tarvisium,1.1592991015781893
Altinum,1.1538519009294181
Arba,1.138566437649951
Parentium,1.1379037815966102
Albona,1.1301240884011223
Ateste,1.1267775233948507
Bononia,1.1264836270440448
Vicetia,1.121707697803093
Ravenna,1.1210794489077303
Varvaria,1.1200801888023437
Claterna,1.119139723796453
Cissa,1.1127363375077646
Ortoplinia/Ortopula,1.109071876823841
Forum Cornelii,1.100560149766915
Faventia,1.0996836738821385
Aenona,1.0919880893708573
Forum Popili,1.089246219317835
Jablanc,1.0891607375801557
Forum Livii,1.087885045955523
Iader,1.0837011082747057
Absortium,1.0832641172198376
Ariminum,1.0814656315386673
Pola,1.0737833846033027
Nesactium,1.0737501045516986
Forentum,1.0636150467763579
Acelum,1.0616515494715633
Salapia Nova,1.0611867020597283
Caesena,1.0600648815632256
Senia,1.0572084684772576
Fanum Fortunae,1.055343364277301
Nedinum,1.050910058180882
Herdoniae,1.048559255550055
Arpi,1.0437488827602985
Verona,1.0436398331964865
Netium,1.042774384565685
Rubi,1.0424979742350522
Burnum,1.0402534988255288
Cannae,1.0391800753679965
Blandona,1.037190085550676
Silvium,1.0365584964323817
Lopsica,1.0350988632777618
Crexa,1.0348406879058016
Pisaurum,1.0331489601586428
Canusium,1.0326513403398847
Butuntum,1.0312677823669472
Flanona,1.0304851944691975
Clambetae,1.0294568523157839
Genusia,1.0255924796635685
Ancona,1.0255547438134938
Asseria,1.0216052504053144
Cluana,1.0194926383650482
Alveria,1.0169111402034425
Corinium,1.0139312702196306
Luceria,1.0121508555616914
Ausculum,1.0108196015067359
Potentia,1.0098862699523814
Sidrona,1.0084240300539844
Caelia,1.007381985113277
Sipontum,1.005475040648052
Aecae,1.0047079369565297
Varvaria,1.0024738318172168
Saepinum,0.9974026154366187
Aesis,0.996355527647518
Ansium,0.9948561070353757
Salapia Vetus,0.9936475444040942
Teanum Apulum,0.9930367157037617
Castrum Truentinum,0.9909704840917944
Solona,0.9886659447455943
Numana,0.9851127654478595
Vegium/Vegia,0.9798175875037111
Azetium,0.9790344465415796
Helvia Ricina,0.9768121652807412
Sena Gallica,0.9767788524547333
Auximum,0.97362659930270945
Pausulae,0.9703349879650572
Tarentum,0.9698512635014422
Suasa,0.966755557861235
Cupra Maritima,0.9629045231781739
Barium,0.9618117281200873
Ostra,0.9583380738735799
Castrum Novum Picenum,0.9576307180936567
Norba,0.9551767742575219
Pollentia,0.9541065278341528
Scardona,0.9520968926968194
Trea,0.9510254754696053
Setovia,0.9494284178976985
Anxanum,0.9487877618316377
Hortona,0.9481783968748972
Bovianum,0.9477970644723799
Argyruntum,0.947088651032559
Urbs Salvia,0.9431226777200975
Aequum,0.9427374419540456
Caelia Calabria,0.9423301269875818
Epetion,0.9420000327236786
Firmum,0.9303219285225385
Teate Marrucinorum,0.9288623902338586
Rider,0.9272466129873933
Septempeda,0.9269444882957032
Histonium,0.9261249148702435
Siculi,0.9251369053222508
Magnum,0.9235285565015152
Tragurium,0.9185318686524385
Egnatia,0.917468171613397
Forum Sempronii,0.9171613840113774
Larinum,0.9157334897660193
Neretum,0.9154538806313468
Salona,0.9151676425846356
Tolentinum,0.9134631302696339
Falerio,0.9105414117181033
Tilurium,0.9037846822240448
Novana,0.9020756538936142
Asculum,0.8986386633589474
Fagifulae,0.8949744416678923
Cupra Montana,0.8924281962289111
Pinna,0.8887310721960214
Issa,0.8883695618147852
Promona,0.8863476846312829
Andetrium,0.8837469427667379
Nareste,0.8766388369611897
Pituntium,0.8739100131997908
Urvinum Mataurense,0.8699111538673086
Rudiae,0.8688643501138089
Lupiae,0.8679962965872651
Atria,0.8608856993653405
Pitinum Pisaurense,0.8604622402552808
Brundisium,0.8603555942258779
Cluviae,0.8580799636101107
Sentinum,0.857822579852324
Amiternum,0.8551433970950755
Terventum,0.8516083703042404
Interamnia,0.844228060297282
Cingulum,0.8428874899965944
Sarsina,0.8413051506987947
Iuvanum,0.8378303101514598
Bigeste,0.8271450157855205
Pitinum Mergens,0.8255682021124714
Pagus Scunasticus,0.8237934685725439
Sestinum,0.8172743253145156
Uxentum,0.7973922590806231
Narona,0.7944478471319446
Iguvium,0.793591493155042
Vibinum,0.7746128537751162
Lissus,0.7624702198433674
Scodra,0.7545070202805332
Anxa,0.7486542010666646
Hydruntum,0.7409672341797424
Oneum,0.7292242016305577
Epidaurum,0.7185675683344709
Diluntum,0.7158197275989334
Apollonia,0.7030326569757016
Doclea,0.7012543198144507
Dyrrachium/Epidamnos,0.6394932948140586
Olcinium,0.6322373584050784
Butua,0.610316681064149
Risinium,0.5499817197648447
Acruvium,0.4834076109146127
